username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Rajdeep Sardesai,56304605,2017-05-23 05:14:38,"Sober mature coverage of awful Manchester terror attack by BBC  is lesson for us: even in times of high stress, put sense above sensation!",405,None,6117599,492,-0.128,0.388
Sam Sykes,79309628,2017-05-23 01:18:30,"In times of great fear or stress, it is best to help someone.",1244,None,18599,600,0.9,0.525
AFP news agency,380648579,2017-05-22 07:30:15,Feline good: Cats counter stress at Tokyo firm https://t.co/XYNVIpOzuJ https://t.co/ZCGH4DgJQk,186,None,1104143,549,0.24999999999999997,0.5
NSPCC,38292671,2017-05-23 09:02:34,"Following the attack in Manchester, your child may feel upset or anxious. #Childline has info:... https://t.co/429omMFjQW",320,Childline,203015,3760,-0.125,0.55
UberFacts,95023423,2017-05-22 04:47:00,"Shopping releases endorphins that temporarily reduce stress, boost self-esteem, and moderate pain.",377,None,13481575,1,0.0,0.7
UberFacts,95023423,2017-05-22 01:17:00,"Physical touch makes you healthier. Studies show that massages, hugs, and hand-holding reduces stress and boosts the immune system.",455,None,13481575,1,0.0,0.14285714285714285
UberFacts,95023423,2017-05-22 09:47:06,Cows have best friends and experience stress when removed from them.,308,None,13481575,1,1.0,0.3
Moscato Michael,100020413,2017-05-23 02:21:53,People shouldn't have to fear for their lives when attending a concert! It should be a release from stress and a time of fellowship!,356,None,175322,229,0.0,0.0
Harvard Biz Review,14800270,2017-05-23 02:05:04,"Stress is caused not by other people or external events, but by your reactions to them.
https://t.co/VTURVdSQNZ",195,None,4513665,195,-0.0625,0.2375
AFP news agency,380648579,2017-05-22 12:14:00,Feline good? Cats help workaholic Japanese counter stress https://t.co/Xt55c2JRFr https://t.co/RFh1I6joPe,84,None,1104143,549,0.35,0.30000000000000004
Chuka Umunna,33300246,2017-05-22 14:00:39,"Whenever a Tory trots out their ""strong &amp; stable"" nonsense,remind them of today's #DementiaTax chaos causing untold stress to the elderly",191,DementiaTax,196055,1872,0.4333333333333333,0.7333333333333333
Joseph Prince,22000517,2017-05-23 00:01:41,Live life God's way--without stress and strife! Trust Him to provide everything that you need (see Ps 23:1 NLT).,214,None,341244,4,0.17045454545454544,0.5
Khalil Underwood,2667913824,2017-05-23 02:03:53,NO STRESS ALL SUMMER 2017,202,None,264369,96035,0.0,0.0
Isha Foundation,19190337,2017-05-22 07:00:50,"#Stress, @SadhguruJV says, happens due to inability to manage our inner situation, not from surroundings. https://t.co/sj0Te8e1kg",77,Stress,110148,7,-0.0625,0.2708333333333333
Gordana Biernat,293338829,2017-05-21 18:31:11,"Instant stress relief:
FOCUS your awareness fully in the NOW.
REFUSE to worry.
IMAGINE the BEST outcome.
FEEL gratitude.

#ShineOn",69,ShineOn,314950,238832,0.5,0.4833333333333333
Jessica Elgot,16513349,2017-05-21 21:20:52,"No one likes a ""register to vote"" tweet. But just to stress, renters more likely to fall off register -do double check with current address.",45,None,20099,2387,0.125,0.475
Soompi,17659206,2017-05-21 11:58:16,"Actress Chae Soo Bin Shares How She Deals With Stress And Hateful Comments
https://t.co/oJgYbLLsZb https://t.co/C3V1R1ecIN",114,None,1265917,3553,0.0,0.0
